Transaction Date,Description,Amount,Type,Balance
06/01/2026,NETFLIX.COM,-15.99,Sale,2484.01
06/02/2026,WHOLE FOODS MARKET #412,-67.34,Sale,2416.67
06/03/2026,SHELL OIL 57442891200,-48.20,Sale,2368.47
06/04/2026,CHIPOTLE MEXICAN GRILL,-12.75,Sale,2355.72
06/05/2026,SPOTIFY USA,-9.99,Sale,2345.73
06/06/2026,AMAZON.COM*MT3QZ6KL0,-34.99,Sale,2310.74
06/07/2026,DIRECT DEPOSIT EMPLOYER,3200.00,Credit,5510.74
06/08/2026,STARBUCKS #09183,-6.45,Sale,5504.29
06/09/2026,CVS PHARMACY #4821,-22.18,Sale,5482.11
06/10/2026,UBER *TRIP HELP.UBER.COM,-14.30,Sale,5467.81
06/11/2026,WHOLE FOODS MARKET #412,-54.11,Sale,5413.70
06/12/2026,HULU,-7.99,Sale,5405.71
06/13/2026,ATT*BILL PAYMENT,-85.00,Sale,5320.71
06/14/2026,SWEETGREEN DC 14TH ST,-13.50,Sale,5307.21
06/15/2026,AMAZON.COM*2K9PL1MN4,-19.95,Sale,5287.26
06/16/2026,CHEVRON 0204792,-51.60,Sale,5235.66
06/17/2026,STARBUCKS #09183,-5.75,Sale,5229.91
06/18/2026,UNITED AIRLINES 0167824,-312.00,Sale,4917.91
06/19/2026,TRADER JOE S #141,-88.43,Sale,4829.48
06/20/2026,APPLE.COM/BILL,-2.99,Sale,4826.49
06/21/2026,PLANET FITNESS,-24.99,Sale,4801.50
06/22/2026,DOORDASH*MCDONALDS,-18.40,Sale,4783.10
06/23/2026,VENMO CASHOUT,500.00,Credit,5283.10
06/24/2026,WALGREENS #9841,-14.72,Sale,5268.38
06/25/2026,NETFLIX.COM,-15.99,Sale,5252.39
06/26/2026,SPOTIFY USA,-9.99,Sale,5242.40
06/27/2026,AMAZON PRIME MEMBERSHIP,-14.99,Sale,5227.41
06/28/2026,UBER *TRIP HELP.UBER.COM,-22.10,Sale,5205.31
06/29/2026,SWEETGREEN DC 14TH ST,-12.80,Sale,5192.51
06/30/2026,INTEREST PAYMENT,1.24,Credit,5193.75
05/01/2026,NETFLIX.COM,-15.99,Sale,1234.00
05/05/2026,SPOTIFY USA,-9.99,Sale,1224.01
05/06/2026,PLANET FITNESS,-24.99,Sale,1199.02
05/21/2026,PLANET FITNESS,-24.99,Sale,1174.03
